"goal_list_1","goal_list_2","goal_list_3","goal_list_4","goal_list_5","MTurkCode"
"My first goal is to start studying and pass the CompTIA Network+ certification exam by January of 2021. ","My second goal is to find a job doing networking or entry level help desk work.","My third goal is to save up enough money from mTurk to move out of my parent's house, preferably to a new city.","My fourth goal is to limit all my spending and become sufficient with only living with basic necessities.","",34519
"wildlife photographer","good person","doctor","social worker","president",34736
"I want to gain 25 pounds and no longer be underweight","I want to pay off my $4,000 car loan.","","","",15561
"Become financially stable again","Become successful after starting my IT career","","","",80378
"Create a Life Plan.","Find a Way to Give Back.","Learn to accept your limits.","Be more proactive.","Stay open-minded to new opportunities.",42250
"to be a good person","to married my partner","","","",81728
"pay off my volkswagen atlas","save money to get a tesla solar roof","gain 15 lbs of muscle","start waking up consistently at 6am","",88644
"Continue walking for 30 minutes minimum every day.","Continue to avoid taking any prescription medications.","Continue to house hunt and buy a forever home.","","",43723
"work","family","finance","health","leisure",75119
"i love hills","Fir and spruce forests are greatly affected by slight fluctuations in climate","evergreen coniferous trees in the family Pinaceae.","Pine is weaker than spruce","If you're going for a pine appearance",69558
"One goal is to jog regularly every day without fail","I plan to finish paying off my house mortgage in 2 years","I plan to work towards getting promoted before next Easter ","","",79792
"I'm committed to moving out on my own","","","","",10680
"Get my weight under 200 pounds.","Swim a half mile 5 times a week.","Walk at least 15 miles a week.","","",43631
"Exercise three times a week for at least 45 minutes","Save $2500 by March 2021 for a vacation","","","",96569
"I want to buy a house. ","I want to get in better shape. ","","","",18626
"I want to improve to be a better guitar player.","I want to be healthier and get in shape.","I want to be more outgoing and make friends.","","",60183
"I would like to have $15,000 set aside in a savings account.","","","","",66763
"Financial goal","Weight loss goal","Business goal ","Sports goal","Business goal ",30999
"I want to lose a fair amount of weight and keep it off for good.","I want to build up my business and drastically increase sales.","","","",37293
"I want to lose weight","I want to find a new home","I want to get married","","",80539
"To purchase a house","To find a new career path","To get married","","",83989
"My goal is to count calories daily to lose weight.","My goal is to save $300 every month.","My goal is to get a promotion at my job.","","",30945
"Go to bed by midnight every night.","Lose 10 pounds. ","","","",14335
"Own a software company","Provide job oppurtunity to youngsters","Build a own bungalow","Buy a Lamborghini car ","Marry a most beautiful girl",14837
"Get a job as an accountant trainee. Complete testing and successfully complete the interview for this job,","Lose 20 pounds of weight. Exercise more than 3 times a week and eat healthy foods.","Save $100,000 dollars. Put away a consistent amount of money each month and cut off any unnecessary spending.","Complete a degree in computer science. Complete the math courses and computer science courses at community college.","",11323
"I want to finish writing my book that I started a while ago.  I write a bit each day but it is a hard task and ongoing.","I want to save up enough to move out of state.  This is ongoing as I am working two jobs to achieve it.","","","",94847
"My first goal is to become more financially stable. More specifically, I aim to continue paying off my credit card and loans each month. Eventually I hope to have no outstanding debt.","My second goal is to become healthier and more physically fit. I hope to lose weight at a steady rate with the amount of exercise I do each day.","","","",74722
"I would like to get to the beginning of the new year without having to ask my father for money.","I would like to get back into exercise regularly.","","","",46426
"Find a job","Finish paying off my debts","Finish planning my friends bachelorrette party","Move into my own place","Lose 40 pounds",89763
"my goal right now is to have a smooth semester at college.","","","","",52913
"My goal is to put $100 a week in Vanguard stock account to save for my future.","My goal is to lose weight and be fit. ","","","",69793
"I need to replace the roof on my house. This probably needs to happen in the next few years.","I have a goal to acheive financial independence. The timeline is not clear, but ""retirement"" is basically the same idea.","Another goal of mine is to really get into good physical condition. By intermittent fasting, exercise, paleo diet, whatever.","","",64342
"i am striving to get my masters because i am at the point in my life that it matters","","","","",58282
"My goal is to average at least $70 a week on Mturk","My goal is to find a job I actually enjoy doing.","","","",87853
"Make more music","Spend time on sound design ","Make more money ","","",68415
"Help my small business reach $50,000 in monthly by the end of the year. ","Get married next summer in Italy","Become a highly competitive 4.5 or even a 5.0 USTA rated tennis player within the next year.","Reduce my personal debt in half in one year. ","",89397
"I need to get a job to make more money.","I want to become more physically active.","","","",69574
"My goal is to lost at least 20 pounds.","My goal is to start my own business by the end of the year.","My goal is to save an extra $100 each week until the end of the year.","","",79094
"Get better at drawing","Eat more vegetables each day","","","",16384
"I'm trying to get out of debt.","I'm trying to clean all the junk out of my house and organize things.","","","",57201
"my goal is to become the most rated artist ","my goal is to play football for my country ","my goal is to earn $5000 every month ","","",65373
"Good Person","Hard Work","High Level Salary","Happy and Enjoy","Effect",72969
"To continue to loose weight as it has taken a year to loose some and probably at least another year to loose the rest of the weight.","To get healthier via diet and to keep up with the no sugar and fewer carbs to stay healthier.","","","",72776
"I want to exercise at least 3 times a week","I want to find a better and more stable job","I want to spend more time with friends and grow our relationships","I want to lose weight by eating healthier","",48724
"Earn $1000 month via self-employment.","Move to Colorado.","Continue and increase exercise to maintain weight and keep blood pressure low.","Reduce sugar and salt, increase vegetables and fruit in diet.","",43685
"I want to find a remote job that pays enough to help me get by.","I want to lose weight and get in shape.","I want to write a novel.","","",85586
"My goal is earn 200$ per month","My goal is to go to gym every day","My goal is became a business man ","My goal is buying a Ferrari car","My goal is role model to others",14492
"want be a officer","help other needy players","","","",58881
"Paying off my mortgage.","","","","",40883
"My goal is to save for retirement by investing regularly and achieve at least my current income through returns","I want to eat less meat, especially red meat, with the goal of eventually becoming mostly vegetarian (maybe some chicken/fish)","I want to spend more time outdoors and enjoy nature more often","","",68257
"My goal is to lose 50 pounds within the next 6 months by dieting and exercise.","My goal is to obtain a savings of $5,000 for emergency purposes.","","","",42203
"well place","good place","wonderful","nice","beautiful",48831
"To worry less and have more peace in my life ","To run a successful eCommerce business and be financially independent  ","","","",19335
"To increase my social support system by making three new friends that live similarly to me in terms of their values and family life.","To move into a bigger house in a better neighborhood.","To save enough money to be able to live well in my retirement.","To switch to a more fulfilling, better paying job before I retire.","",60604
"get higher position","to get my likable things","fulfill my achievements","get comfortable job","good life",78459
"To get a degree and pursue a better job","To be more social and make more friends","To finally lose weight and get in shape","","",21012
"Buy the car","Be kind daily","Become more mindful","Create a life plan","seek personal growth",96758
"To maintain a fitness body ","to earn 5000 dollar per month","to go to a gym everyday","to not eat any junk food items","i want to be a human resource manager in an organization ",85326
"job","higher study","new home building","hobby development","sports improvement",75438
"Marriage and Family Harmony.","Proper Mindset and Balance","Develop Empathy and Gentleness","Financial Stability","Expanding and Growing Faith",44597
"BUILT HOME","START BUSINESS","RUN WITH MANY BRANCHES","BE FAMOUS","MAKE FAME FOR ALL",13095
"To maintain a fitness body","To earn 5000 dollar per month","To go to a gym everyday","To not eat any junk food items ","I want  to  be a human resource manager in an organization",23927
"My first goal is to move from the apartment where I am currently living to a more rural area away from the city. My goal is to purchase some land with a house already built or to possibly build a house on the plot of land to my specifications. ","My second goal is to better pursue learning a second language (Greek). My goal is to be more dedicated and to keep at the learning process instead of getting distracted with other things or letting my motivation wane until I really slack off and eventually give up.","","","",45084
"Be a better wife","Be a better mom","Be more committed in my relationship with God","Express more my feelings","Eat healthier",43007
"I want to continue to lead a healthier lifestyle.","I want to focus on writing and hopefully make a living out of it. ","","","",67526
"I want to lose 20 pounds.","I want to save enough money to visit London.","I want to finish up all of my current art projects.","","",64241
"Get my three month old to sleep better at night.","Lose 20 pounds of pregnancy weight","Open my new Etsy Business","Make 80 dollars a week on mechanical turk.","Pay off my student loan",91432
"Get a Bachelors Degree by 2021 of Spring","Earn a GPA of 3.2 or above by 2020 of Fall","Find a full time job by 2021 of Spring","Find a girlfriend through Tinder by the end of 2021","Loose 2kg of weight by the end of 2020",99516
"Save 200 dollar in week","50 dollar to earn money per week","Not eat ice cream","Set to target to achieve","few dollars to be spend per week",49224
"Save 200 dollar in week","50 dollar to earn money per week","Not eat ice cream","Set to target to achieve","few dollars to be spent per week",63082
"My goal is to work up to a total of 10% payroll deduction out of my check for my 401k on a weekly basis.","","","","",16535
"I hope to pay off my house mortgage earlier than I anticipated thus I am allocating more to my monthly mortgage payment.","I plan on setting up an unused space in my house for exercises and home workouts.","I want to build up on my team-related skills and disposition towards group work and team balance.","","",93701
"I want to make at least $100 on Mturk this week.","I want to decrease my weekly grocery budget by $25.","I want to exercise more.","","",14857
"become a billionaire","successfully care child ","business achievement ","carrier development","become a best parent of my child",75360
"I want to pay off credit card debt. ","I want to eat a more plant-based diet and transition to becoming a vegetarian.","I want to lose weight, at least 20 pounds.","I want to commit to a better work life balance and commit to not taking work home anymore.","",29862
"I want to buy a house.","I want to buy a new truck.","I want to learn to play the guitar.","","",11494
"spacific","attainable","measurable","relevant","time-bound.""",99680
"My goal is to have my own house","My goal is to achieve my PHD degree","My goal is to have a side hustle business ","My goal is to have another car","My goal is to help the less privileged ",91771
"Learn a new language","Learn how to bake bread","Do more exercise","","",55136
"My goal is to lose 2 pounds per month.","Another one of my goals is to make an extra $250 per month.","My last goal is to be able to run 3 miles before the end of the year.","","",55649
"Marriage and Family Harmony","Career Passion and Personal Satisfaction","Service and Social Responsibility.","Commitment to Improved Physical Health","Proper Mindset and Balance",30327
"business","sports","weight losss","business","financial",53772
"Settling down and starting a family in the next two years","Get my book published by October 2020","Going back to school and finishing my degree in the fall of 2020","Volunteer once a month","Save an extra $100 every month",82964
"One of my goals is to pay off all outstanding debt I have with past due child support.","My 2nd goal is to finish saving up and buying a new car.","My third goal is to meet a new girl to settle down with and live the rest of my life.","My fourth goal is to move out and get my own apartment or house.","My fifth goal is to record a music album before i die",44406
"Start eating healthier","Learn how to code Python","Begin exercising","read more books; dedicate more time to reading","",57719
"Drop down to a healthier body weight","Save up to buy a house","Get promoted into a new position at work","Master the art of growing microgreens","Spend more time walking and training my dog",47950
"School","Work","Family","Finance","Health",26999
"finish the book I am writing for my granddaughter","finish stripping and painting all the woodwork for my home renovation","","","",75729
"Work on book about family history","Learn conversational French for next trip to Paris","Keep apartment clean ","Get at least 30 min of exercise 5x per week","Eat more vegetables",43432
"My first goal is to finish the accounting course I'm currently taking successfully and apply the knowledge I learned to my welding business.","My second goal is to continue expanding my welding side business so that it eventually becomes my main source of income.","","","",38483
"Perfectionism. So many people have deep desires within themselves and truly want to achieve certain things in life.","Be realistic. Try to keep things in perspective both when designing your goals and as you work toward them","Failure. We have a wrong perception of what failure is these days","Set Attainable Goals. Make sure that it's possible to achieve the goals you set","Eliminate toxic people from your life. Everyone has some of them",48295
"Get more fit.","Find a new house.","Clean my current house.","","",34226
"My goal is to become closer to God so that I can have a better relationship and that I can regain my faith","My goal is to lose weight by eating healthy and exercising","My goal is to earn a more stable income without having to work a job.","My goal is to repair my credit so that I can buy a house","My goal is to develop a better mindset and think more positive thoughts",26046
"My goal is to finesh my powerpoint presentation by the end of the day","My goal is to not eat any ice cream","My goal is to go the gym every day other day","My goal is to eventually find a better job","I want to be an astronaut",70522
"My first goal is lose weight.  I've been in the process of it for a while now.  I started at 345 and am now at 270.  I want to reach my goal weight of 180 lbs with a decent amount of muscle on me.","I'm working towards purchasing a piece of software.  I buy and sell things and there's certain software that can make these tasks easier.  My current software is alright but I'm trying to save up $5000 for an upgrade in software.","","","",91435
"i want to buy a one new model car","i want start one hotel in Las angles ","i want to climb the mountain","i want to go ship in sea","i want to act one movie",33960
"To be a better peron in terms of how I control my emotions.","To increase my saving culture.","","","",91053
"I want to get straight As this semester","I want to only drink alcohol on the weekends","I want to pay off my credit card","","",12747
"I want to start walking my dogs longer at least three times a week.","I want to make enough money every month to sustain myself alone.","I want to get my license.","","",70661
"Lose 20 pounds in the next 3 months.","Be a great father.","","","",10804
"Increase my farm","Purchase my first home","Increase my income from my farm","Save for a vacation","",23733
"MY GOAL IS WORK AT LEAST 100 DOLLAR IN THIS WEEK","MY GOAL IS GIVE MY PROJECT WORK IN CORRECT TIME THIS MONTH.","MY GOAL IS WORK 400 DOLLARS IN EVERY MONTH","MY GOAL IS I WILL DO  YOGA DAILY","I WILL EAT AT LEAST ONE FRUIT IN DAILY LIFE.",46606
"Move to a new apartment.","Communicate with my parents more frequently.","","","",58912
"I can exercise more than three days a week. Everytime my exercise can last at least 30 minutes.","I can do more Mturk tasks. I can make more than $300 each month.","I would gain financial freedom and get early retirement as soon as possible.","","",24433
"become a billionaire","successfully care my child","business achievement ","carrier development","become a best parent of my child.",85863
"become a billionaire","successfully care my child","business achievement","carrier development","become a best parent of my child",87954
"I would like to find a better-paying job that will lead to a career path.","I would like to go back to school and pursue a Master's degree.","","","",84367
"My first goal is to improve my listening skills and speak up to increase visibility.","To improve my time management skills.","To improve my Emotional Intelligence.","To improve presentation/public speaking Skills.","To Start networking and Volunteer regularly.",79649
"finance","family","work","leisure","finance",14942
"A goal I am striving for is to pay off all of my credit cards which would make me debt free. ","Continuing to teach my children by homeschooling and getting them through to graduation is another major goal for me. ","An important goal I have is to loose weight and maintain that weight loss of about 50 pounds. ","","",24270
"Develop emotional intelligence","Develop a growth mindset","Develop a reading habit","Increase earnings","Increase professional knowledge and training",27095
"Improve current career path and monetary situation","Advance my current romantic relationship","Improve personal health","","",63165
"I am working towards paying down all of my debt.","","","","",80532
"become a billionaire","successfully care my chlid","business achievement","carrier development","become a best parent  of my child",85720
"I DONT HAVE ANY ALCOHOL ANY TIME","I DONT ANY ICE CREAM EAT","DAILY 3 BOOKS READ ","WEEKLY TWO TIMES GO TO CHRUCH","DAILY GO TO GYM ",32469
"To offer as much volunteer services as I can.","Finishing my educational obligations on time","Keeping my kids on track with their remote learning","","",98911
"Lose about 50 pounds by end of December 2021.","I want not to react instantly when someone upsets me.","I am aiming to eat less rice everyday.","Go jogging everyday.","Save $500 every month.",92331
"Get my masters degree","Get a PHD","Save enough money to start a business","Run 10 kilometres ","Become more fit. ",70502
"Get new carpet for my home","Drink more water daily","declutter my home with things I don't need or want","Sell what I don't want anymore on eBay or closeby","Find a friend or companion ",54277
"my goal is to complain less","my goal is to stay healthy","my goal is to exercise more","my goal is get more sleep","my goal is to trust myself more",49336
"I am trying to lose weight by Intermittent Fasting.","I am trying to pay off debts.","","","",89881
"lose the 15 lbs I gained during quarantine","pass my MSRs for Roller Derby and officially join a home team","get my mother a lawyer for her medical and financial PoA","eat less sugar and more vegetables","establish my raised beds for vegetable gardens this fall",26849
"i am currently fasting for weight loss. i am 9 days into a 28 day water fast.","i have a goal to exercise at least 5 times a week for weight loss. i am trying to at least do some cardio each time i exercise, but also incorporate some weight lifting too","","","",97556
"Red spruce and Fraser fir survive at the highest elevations in southern Appalachia due to their ability to bear climatic conditions","My goal is to be very efficient at work","Goals can also be very concrete. For example, ""My goal is to get an A on my history midterm.","oals can be set to be achieved on regular bases."," goals can include specific targets",37853
"i want to lose weight","i want to cut back on carbs","I want to drink more water","I want to get my drivers license","I want to save more money",34592
"To become a successful E-commerce merchant.","","","","",97876
"save up for a car.","apply for school and excel.","","","",43656
"My goal is to lose enough weight to no longer become obese","My goal is to be more organized in my work and in my house","my goal is to waste less money on food","My goal is to learn the star constellations and be able to find them","My goal is to become less dependent on alcohol.",26770
"I want to lose fifty pounds by the end of summer.","I need to save enough money to buy a new car.","I want to further my education and get promoted at work.","I want to get in contact with an old friend I miss.","I want to save enough money to move back out of my parent's house.",24300
"Giving a luxury life to my family.","Opening a charity for disabled peoples","Starting a own business.","","",75218
"My goal is to earn 100$ today.","My goal is to eat healthy foods regularly.","My goal is to spend my leisure time with my family.","My goal is to get promotion in my company.","My goal is to complete my project without any distraction.",97297
"becoming a better parent and a role model to my children","to be saving more money and spending less","to work out regularly at least 5 days a week","to maintain my positions at my workplace and help others","to eat more healthy",52657
"clarity","challenge","commitment","task complexity","feedback",43774
"My goal is to increase sales in my online t-shirt store and sell 100 shirts a month. ","","","","",18932
"My goal is to quit drinking artificially sweetened drinks and only drink water.","My goal is to finish my programming project by this weekend.","My goal is to complete my community service hours.","My goal is to get a job that utilizes my degree in computer science.","",85889
"to complete my master","to get a good job","to help my family","to give donation to charity","to help  people around me",11077
"My goal is travel the world","My goal is to eventually find a better job","My goal is buying own house","My goal is to be very efficient at work ","My goal is to be a better person",72850
"I want to be a software engineer","I want to move into my own apartment","I want financial independence","","",36734
"To slowly increase my net worth and save for retirement.","To become healthier and take care of myself better.","","","",84365
"I want to cut down on my drinking-maybe only getting a buzz one night a week instead of 5.","I want to continue being successful at my job and get a good promotion or raise soon.","I want to continue being the best dad I can be.","I want to ride my bike 5 days a week, hopefully for at least 5 miles at a time.","I want to continue to learn to make better beer than I do already.",74059
"To own 10 duplexes","To achieve a six figure salary","To finish Witcher 3","To be a better Listener","To be more patient with people",60455
"My first goal deals with obtaining a higher position on my current job.","I want to get healthier, by exercising more and eating better foods.","I want to become a better keyboard musician than I currently am.","I want to complete my savings towards a family vacation.","",45477
"Start My Own Business","Gain a New Skill","Save Money ","Marriage and Family Harmony","Commitment to Improved Physical Health",53422
"want to be an astronaut","bussinessman","cardialogist","build a own house","own a Bentley car",85052
"Get in shape","Get my computer certification","Save up for a new car","","",55655
"My number one goal is to get a kidney transplant this year.","My second goal is to finish my screenplay.","I have a goal to get my last play performed.","I have a goal to re-write my first play.","My last goal is to collect all of my poetry.",64023
"sister marriage","work promotion","buy a new car","build a own home","increase bank deposit",27214
"My goal is to lose 20lb by making better food choices.","I want to save more money and spend less money.","I want to spend more time exercising.","","",43095
"SCHOOL","WORK","FAMILY","FINANCE","HEALTH",21971
"Start a new business","Buy a cottage","Volunteer at an animal sanctuary","","",16212
"embrace emapthy","confidence","listen actively","work on growth mindset","wake up early",57259
"To renew my and my wife's passports, because they will expire soon.","To buy a high-performance car, because the old one is in a very bad technical condition.","To renovate the deck and paint the whole house.","To save the money needed for a Caribbean cruise.","",64519
"My Favorite  Car ","My Baby Marriage","Bank Manager ","Higher Post","Family Run",72225
"My first goal is to succeed during my first semester of graduate school that started this week. I would like to get all A's in my 5 classes but my main goal is to get an A in the statistics course.","My second goal is long-term. I wish to complete my PhD program within the next 6 years and not take extra time to complete my degree.","","","",84178
"Start a Gratitude Journal","Create a Life Plan","Develop a Healthy Exercise Routine","Start a Creative Hobby.","Seek Personal Growth",34469
"My Goal is save 200 dollars every week.","My Goal is buy the car.","My goal is eat vegetable daily.","My goal is go to gym daily","be a good mindful",86591
"Commitment to Improved Physical Health","Service and Social Responsibility.","Proper Mindset and Balance","Financial Stability","Expanding and Growing Faith",39828
"My goal is to learn conversational German by the end of this year.","My goal is to eat more healthy food.","My goal is to wake up early in the morning everyday.","","",50229
"Improve presentation/public speaking Skills. ...","Improve my  management skills.","Speak up to increase visibility. ...","Improve my listening skills. ...","Improve your Emotional Intelligence. ...",87963
" I WANT TO BECOME A BIG FARM HOUSE OWNER","  I WANT TO BECOME BIG VIP","DAILY EARN  UP TO $400","","",56198
"My goal is to save 400 dollars everymonth","My goal is not to eat desserts","My goal is do exercise 30 minutes everyday","","",85390
"Save enough money to pay my taxes off each year when they're due.","Get my blood sugar levels and my A1c back under better control.","Just start saving more money in general.","Get more creative projects done in my spare time.","Exercise more regularly.",50759
"To return to the best health possible.","To increase my earnings to Xxx a day.","To become the best guitar player I can be.","","",26834
"keep body to good","want to became a good person","eat always pure vegetables","became a good partner in life","good position in the society",82718
"My future carrier development","House mortage loan","Helping financially backward class people","Helping educationally backward children","Helping my sister marriage",38282
"Purchase a car within 6 months.","Lose 20 pounds.","","","",47547
"Finish the book I'm currently reading.","Get out of debt.","Raise my credit score. ","Buy a house","Buy a new car",74656
"House mortage loan","My future carrier development","Helping poor people","Helping financially sister marriage","Helping educationally backward children",99526
"I have a goal of being promoted in my workplace within the next two years.","I have a goal of exercising and being more physically active.","I have a goal of spending more time with my family and taking more vacations.","","",96033
"Find the hill hight","find the diamand","find the correct way","Find the things","Find the all animals",10007
"One of my future goals is to purchase a new vehicle that I can afford. My current car has been breaking down a lot and isn't really worth the long term commitment anymore on it as it is getting very old now.","Another one of my goals is to save for the future and my retirement as I am now getting older and would like to have extra money besides social security to go on vacations etc.","A new goal I have set for myself is to find a new job that pays more money and is more reliable for work hours compared to my current employment.","Another future goal is to take courses in photography because it is something I am highly interested in learning.","I need to exercise and eat better as well so this would be another long term goal is to remain healthy as I age, as much as possible.",18662
"Buy a new car.","Find a better apartment.","","","",45464
"I want to eat vegetables every day.","I want to get exercise every single week.","I want to finish an online course that I am taking that has no time limit.","I want to pay off all of my credit card debt, and make progress on it every single month.","I want to write daily so that I can finish a short story that I am working on.",66175
"Stay accountable","Gain a New Skill","Set routines","Boost Your Networking Abilities","playing with children",96382
"Purchase a new home by the end of next year.","Pay off my car early, by the end of this year.","","","",51030
"I'm currently working out and trying to get back in the shape I was in ten years ago.","I am trying to read all the books I own before I purchase any new ones.","I am trying to find a way to move to another country within the next few years.","I have a goal to get my drinking under control and try to save that money for other things.","",61706
"I have a goal to be independent. ","I have a goal to feel better.","","","",32459
"i want become a porche ","i want becomw a harley bike","i would become a body builder","i want become a house","i would becoem a engineer",74791
"My goal is to recovery fully from ankle surgery so I can hike again.","My goal is to be a good mom. ","My goal is to increase my skills in my profession.","","",13786
"I want to finish the album I've started recording.","Before the end of the year, I want to finish a novel I've been writing.","I want to have gain admission into a medical lab science (MLS) program within the next 2 years.","I want to get a 4.0 this next semester.","",24155
"To enrol in a masters program by beginning of next year","To avoid eating junk and sugarly foods","To save 200$ every month in order to support my sibling in her education","To successfully finish my current project at work within the stipulated time frame","",86826
"To save $500 per week.","To go on a long vacation next year.","To maintain a good health.","To send my kids to college.","",66732
"Gym 4 times a week","Wake up every morning at 6 AM","Do not overeat","Drink more water and limit soda consumption","Try to take less naps overall",47945
"Hill climb through the world","Become a Billioner","Car collection","World tour with family","Maintain body fitness",11456
"lose weight","finish school","get a good job","buy a house","be a better artist",91557
"WORK","FINANCE","FAMILY","HEALTH","LEISURE",34681
"Be a owm company","Be buy own BMW Car","Be to rich","Be to football player","Be to kind always",35109
"I WANT TO BECOME A DOCTOR","I BOUGHT A NEW CAR","I BOUGHT A NEW CAMERA","I WANT TO CHANGE THIS SOCIETY","I BECOME AN GOOD ENTREPRENEUR",33394
"Be closer to some family members","Save money to buy a car","Become more tone and fit","Find a better job","",27727
"I would like to find a new job with higher pay. ","I would like to increase my physical fitness - both greater cardiovascular shape and lower body fat. ","","","",76840
"Complete the professional degree in C language","Complete the professional degree in C++ language","Complete the professional degree in C#  language","Complete the professional degree in Java language","Complete the professional degree in python  language",91097
"Saving for house down payment","Getting closer to family ","Becoming fitter","Getting closer to friends","Writing more",66172
"i am get to the car","my favorite food for vegetable","i am get to the cell phone","weeks one time savings for 1000","weeks one day me and my children going to the natural places.",56749
"Becoming fluent in Russian","","","","",73455
"I WANT TO CHANGE THIS SOCETY","I WANT TO START A BUSINESS","I WANT SWIM 10 KM IN PACIFIC OCEAN","I BECOME AN GOOD POLITICAL LEADER","I WANT A LUXURY CAR",12603
"Build muscle","Save for a home of my own","","","",12765
"Police","Cricket","Football","Get along with other","Get along with yourself",13891
"I want to do what I can to better our world/environment.","I want to become a better person.","I want to become self-sufficient.","I want to have more adventures.","I want to become more engaged with people.",50036
"vastly improve my diet","move to seattle","learn to exercise regularly","","",20021
"I WANT TO BECOME A GOOD ENTREPRENEUR","I WANT TO SWIM ATLEAST 2 KM","I WANT TO CHANGE THIS SOCIETY","I WANT A LUXURY VILA","I AM A GREAT PERSON IN THE SOCIETY",67206
"To continue to pursue my gender transition until I feel properly caught up and in tune with with myself. ","To continue to get my life back in order such that I can support myself effectively. ","To make room in my more stabilized life to do more creative work again. ","","",85692
"my goal is bought a new BMW car","my goal is bought a new camera","my goal is achieve a smart worker ","my goal is start new entrepreneurs","my goal is daily preparing in gym",28578
"complete my higher studies","placed in a high level company","make my parents proud","Buy cars","Travel around the world",94249
"I would like further my hobby of photography into business","I am taking steps into building my confidence","I want to pay off my mortgage on my house","Work on my relationship with my family","Make enough money to provide for my family",37028
"i have to go to a higher place","we need to help people","to help the country","business men","we need to grow more in business",34991
"honest ","well","better","nice","good",99529
"buy a car","lose weight","","","",79738
"I want to get a degree in biology.","I want to get to 14% body fat.","I want to get a fulfilling job.","I want to take better care of my animals.","I want to be a better boyfriend.",78923
"Need to get in shape by the end of the year","I am going to finish renovating my living room before I have to stop working from home","Learn to cook Asian food dishes for my girlfriend","Find a new job by the end of the year","",67697
"Make more money.","To move to New York.","To date and get into a relationship with my best friend.","","",13089
"I would like to make enough money to retire early and be able to support my family.","I have a goal to become a supervisor within the department i currently work for.","I have a goal to travel the world once I am able to retire from work.","I want to be able to help others when I am able to financially.","I want to live long enough to see my children have their own children.",54139
"I want to get the roof replaced.","I want to finish residing the house.","I want to get a Tableau certification.","I want to learn linear algebra.","I want to find a new job.",64957
"To get down to and maintain a healthy weight level.","To learn Japanese to a conversational level.","To save 3 months worth of expenses as an emergency fund. ","To read at least one book a week.","",26191
"I want to find a full-time job that pays at least $12.00 an hour.","I want to be able to run 2 miles without stopping.","I want to go back to the gym to start lifting weights again.","I want to fix my sleep schedule so I get up around 9 A.M.","I want to finish the video game Dark Souls 2.",83743
"I want to move out and get my own apartment. ","I want to lose weight and get back into shape.","I want to go camping by myself.","I want to obtain my masters degree.","",46655
"I want to be an astronaut","My goal is to eat some vegetable everyday.","Eventually find a better job.","To finis my powerpoint","very effective work",51686
"My goal is to earn more money this year.","My goal is save a large portion of that money for a house.","I want to move out of this house by the end of 2021.","I want to lose 10 pounds.","",69714
"manager","self employed","farmer","teacher","driving",48560
"exercise five days a week","be financially healthier","be a more useful person to others","","",75757
